DIVIPO,NIT,ORGANISMO,CATEGORIA,CIUDAD,DEPARTAMENTO,ESTADO
76111000,89138003351,GUADALAJARA DE BUGA-VALLE (MCPAL) MCPAL,A,GUADALAJARA DE BUGA,Valle del Cauca,ACTIVO
41319000,89118017791,GUADALUPE -HUILA (MCPAL) MCPAL,A,GUADALUPE,Huila,ACTIVO
50318001,,GUAMAL-META (DPTAL ) DPTAL,A,GUAMAL,Meta,ACTIVO
73319001,,GUAMO-TOLIMA (DPTAL ) DPTAL,A,GUAMO,Tolima,ACTIVO
5318001,89090028601,GUARNE -ANTIOQUIA (DPTAL ) DPTAL,A,GUARNE,Antioquia,ACTIVO
15322001,89180106981,GUATEQUE-BOYACA (DPTAL) DPTAL,A,GUATEQUE,Boyaca,ACTIVO
73349000,80010005881,HONDA-TOLIMA (MCPAL) MCPAL,A,HONDA,Tolima,ACTIVO
73001000,80016862411,IBAGUE-TOLIMA (MCPAL) MCPAL,A,IBAGUE,Tolima,ACTIVO
52354001,80011497331,IMUES-NARIÑO (DPTAL ) DPTAL,A,IMUES,Narino,ACTIVO
52356000,83700001711,IPIALES-NARIÑO (MCPAL) MCPAL,A,IPIALES,Narino,ACTIVO
27361001,,ISTMINA - CHOCO (DEPTAL) DEPTAL,A,ISTMINA,Choco,ACTIVO
5360000,80011470011,ITAGÜI-ANTIOQUIA (MCPAL) MCPAL,A,ITAGUI,Antioquia,ACTIVO
76364000,80019722401,JAMUNDI-VALLE (MCPAL) MCPAL,A,JAMUNDI,Valle del Cauca,ACTIVO
23350001,,LA APARTADA-CORDOBA (DPTAL) DPTAL,A,LA APARTADA,Cordoba,ACTIVO
25377001,83003175701,LA CALERA-CUNDINAMARCA (DPTAL) DPTAL,A,LA CALERA,Cundinamarca,ACTIVO
5376000,89098120751,LA CEJA-ANTIOQUIA (MCPAL) MCPAL,A,LA CEJA,Antioquia,ACTIVO
17380000,89080113061,LA DORADA-CALDAS (MCPAL) MCPAL,A,LA DORADA,Caldas,ACTIVO
5380000,89098078841,LA ESTRELLA-ANTIOQUIA (MCPAL ) MCPAL,A,LA ESTRELLA,Antioquia,ACTIVO
41396000,,LA PLATA -HUILA (MCPAL) MCPAL,A,LA PLATA,Huila,ACTIVO
63401000,,LA TEBAIDA-QUINDIO (MCPAL ) MCPAL,A,LA TEBAIDA,Quindio,ACTIVO
52399001,52399001,LA UNION-NARIÑO (DPTAL ) LA UNION-NARIÑO (DPTAL ) DPTAL,A,LA UNION LA UNION,Narino,ACTIVO
76400000,89190110931,LA UNION-VALLE (MCPAL) MCPAL,A,LA UNION,Valle del Cauca,ACTIVO
66400000,89148002711,LA VIRGINIA-RISARALDA (MCPAL) MCPAL,A,LA VIRGINIA,Risaralda,ACTIVO
91001000,89999930291,LETICIA-AMAZONAS (MCPAL) MCPAL,A,LETICIA,Amazonas,ACTIVO
73411000,80010006101,LIBANO-TOLIMA (MCPAL) MCPAL,A,LIBANO,Tolima,ACTIVO
23417000,80009675881,LORICA-CORDOBA (MCPAL) MCPAL,A,LORICA,Cordoba,ACTIVO
54405000,80700365941,LOS PATIOS-NORTE DE SANTANDER (MCPAL) MCPAL,A,LOS PATIOS,Norte de Santander,ACTIVO
13430000,,MAGANGUE-BOLIVAR (MCPAL) MCPAL,A,MAGANGUE,Bolivar,ACTIVO
44430000,90020062631,MAICAO-GUAJIRA (MCPAL) MCPAL,B,MAICAO,La Guajira,ACTIVO
68432000,80011493921,MALAGA-SANTANDER (MCPAL) MCPAL,A,MALAGA,Santander,ACTIVO
17001000,90015109831,MANIZALES-CALDAS (MCPAL) MCPAL,A,MANIZALES,Caldas,ACTIVO
17433000,89080250591,MANZANARES-CALDAS (MCPAL) MCPAL,A,MANZANARES,Caldas,ACTIVO
5440000,89098371611,MARINILLA-ANTIOQUIA (MCPAL) MCPAL,A,MARINILLA,Antioquia,ACTIVO
